name,restaurants_url,telephone,street,street_number,city,postal_code,rating,number_ratings
Alaturka,alaturka-bielawa.pl,661 494 732,plac Wolności,2,Bielawa,58-260,4.6,9
Grande Gufo,,693993905,Jana Kasprowicza,34,Ludwikowice Kłodzkie,57-450,4.8,4
Dahab Kebab,dahabkebab.pl,796178845,Wolności,11,Strzelin,57-100,4,96
Sunway Kebab,,504463120,Rynek,9b,Dzierżoniów,58-200,0,0
Pizzeria Na Rynku,,535 997 280,Rynek,2/2a,Sobótka,55-050,4,47
Szczere Pole,,601 376 074,Armii Krajowej,6,Sobótka,55-050,0,0
Restauracja Wieża,restauracjawieza-swidnica.pl,537857160,Nauczycielska,3,Świdnica,58-100,4.8,202
Mustafa Kebab,,797 257 529,1 Maja,7/4,Ząbkowice Śląskie,57-200,4.7,29
Kropla Oliwy,kropla-oliwy-rawicz.pl,727353435,Piłsudskiego,38B,Rawicz,63-900,4.5,65
Kuchnia Babci Halinki,kuchniababcihalinki-rawicz.pl,511 511 487,Sienkiewicza,28c/3,Rawicz,63-900,4.4,13
Tymff,tymff.pl,655 405 800,Ratuszowa,8,Wschowa,67-400,4.5,189
Sakura Ramen,,506 732 384,Grodzka,12,Leszno,64-100,4.1,22
Kebab Point Leszno 1,,888758828,Niepodległości,70,Leszno,64-100,3.8,231
Euforia Burger,,724636060,Przemysłowa,20,Leszno,64-100,4.9,322
Świat Pierogów,,723982052,Aleja Konstytucji 3 Maja,9,Leszno,64-100,5,18
Da Grasso,,768533333,Rynek,57,Głogów,67-200,4.6,1275
City Pizza,citypizza.pl,726456856,Saturna,pawilon 13,Głogów,67-200,3.5,158
Restauracja Hong Ha,,767449009,Kolejowa,20,Polkowice,59-100,4.3,52
Bianco,,509441105,Saturna,1/56,Głogów,67-200,4.1,91
Bar Restauracyjny Pod Kasztanami,bar-restauracyjny-pod-kasztanami.pl,767208236,Sikorskiego,50,Głogów,67-200,4.4,640
Meghna Kebeb,,739 577 619,Kosmonautów Polskich,37,Głogów,67-200,3.8,51
Ramengers,,660076726,Wita Stwosza,5,Głogów,67-200,4.7,86
Lunch-o-mania,,665768994,Rudnowska,17b,Głogów,67-200,4.9,330
Koku Sushi,,881291800,Rynek,75,Głogów,67-200,4.3,107
Trzy Po Trzy,,727 430 056,Słodowa,46,Głogów,67-200,3.1,5
Wędzarnia Staromiejska,wedzarnia-staromiejska.pl,664464705,Rynek,67,Głogów,67-200,4.3,28
Ha Noi,,768358181,Merkurego,1,Głogów,67-200,3.7,873
Noor Kebab,,579263532,Aleja Wolności,16D,Głogów,67-200,4.3,605
KFC,,571420934,Legnicka,10,Głogów,67-200,3.5,95
McDonald's,,694 495 917,Aleja Wolności,1,Głogów,67-200,4.4,41
Akin Kebab Pizza House,,576885352,Bolesława Chrobrego,2,Jawor,59-400,4.4,28
ROLKA - sushi & bubbletea,,666 626 646,Rynek,36/1F,Legnica,59-220,3.6,63
Pizzeria Nowe Siostry Pepperoni,,530137503,Aleja Rzeczypospolitej,125,Legnica,59-220,4.6,63
Ha Noi,,788 542 542,Podwale,28,Jelenia Góra,58-500,3.7,424
Piri Piri Trattoria,,757524702,Piłsudskiego,60,Jelenia Góra,58-500,4.1,1455
Super Kebab,super-kebab-walbrzych.pl,739 568 839,Janusza Kusocińskiego,21A,Wałbrzych,58-309,3.7,318
Super Kebab Andersa,superkebabandersawalbrzych.pl,577668699,Andersa,149A,Wałbrzych,58-304,3.2,225
Sofa,,757423851,Plac Ratuszowy,13/14,Jelenia Góra,58-500,4.6,1018
Langos,,603 086 986,Długa,6,Wałbrzych,58-309,5,38
Piwniczka,,538538536,Plac Ratuszowy,58,Jelenia Góra,58-500,2,106
Noor Kebab,noor-kebab.pl,579 280 522,Piłsudskiego,14,Jelenia Góra,58-500,4.5,454
Na węglu,,575234500,1 Maja,37,Jelenia Góra,58-500,4.7,30
Afera Szprycera,,882810444,Bankowa,2,Jelenia Góra,58-500,4.3,21
Piwiarnia Warki,,756453000,Plac Ratuszowy,10,Jelenia Góra,58-500,4.2,1943
Pizzeria Roma,,756401700,Wiejska,4D,Jelenia Góra,58-500,4.4,2511
Grande Roma,,796020202,Gimnazjalna,2,Jelenia Góra,58-560,4.7,884
Pizzeria Karpaczia i Pszczoła,,731529030,Cieplicka,18A,Jelenia Góra,58-560,4.7,42
Pierogarnia z Gitarą i Piórem,,789093292,1 Maja,44,Jelenia Góra,58-500,4.7,41
Pizza King,,730904050,Elsnera,3D,Jelenia Góra,58-506,4,201
Pan Gruzin,pangruzinjeleniagora.pl,795 663 635,1 Maja,19,Jelenia Góra,58-500,4.3,71
Minar Kebab & Grill,minar-kebab-grill.pl,739497348,1 Maja,55,Jelenia Góra,58-500,3.5,413
Dolce Vita,dolcevita.pl,796590690,Karkonoska,2,Wojcieszyce,58-560,4.9,935
Ale Ziemniak!,,757531000,Sudecka,18,Jelenia Góra,58-500,4.7,217
Molto Bene,,721334445,Grażyny Bacewicz,26,Jelenia Góra,58-506,4.8,972
Lord Lounge,restauracja-lord.pl,570581896,Plac Ratuszowy,39-46,Jelenia Góra,58-500,4.5,272
Pizza Lord,podplomyki-lord.pl,570581896,Plac Ratuszowy,39-46,Jelenia Góra,58-500,4.4,84
Restauracja Gusto,,75 769 61 32,Konstytucji 3 Maja,77/77a,Karpacz,58-540,3.5,7
FANO,,728058058,Wolności,236a,Jelenia Góra,58-560,4.8,74
Bystry bistro,,538 538 536,Wolności,127,Jelenia Góra,58-500,2.2,18
Koku Sushi,,797797435,Solna,4,Jelenia Góra,58-500,4.6,40
Qshi-Sushi,,515 419 710,Plac Ratuszowy,59,Jelenia Góra,58-500,2.7,11
Szklarski Dworek - Kuchnia autorska,,507 975 160,Jeleniogórska,7,Szklarska Poręba,58-580,0,0
Molto Bene,moltobene.pl,724020055,Sikorskiego,3,Szklarska Poręba,58-580,4.4,1284
Izerskie Smaki,,798 286 000,Głowackiego,5,Świeradów-Zdrój,59-850,4.1,39
Palermo,,757543295,Sygietyńskiego,1,Jelenia Góra,58-506,4.2,506
Słowianka,,733070828,Karłowicza,39,Jelenia Góra,58-506,4.9,301
CHRUPIĄCY KURCZAK,,732849792,Adama Mickiewicza,11,Karpacz,58-540,3.8,5
Stacja Burger,,797062500,Kolejowa,2a,Karpacz,58-540,5,130
Pizza Molto Bene,,724422722,Kolejowa,2a,Karpacz,58-540,4.7,2021
Karkonoska Zapiekana,,602402460,Turystyczna,5,Karpacz,58-540,0,0
KFC,,519198518,Al. Jana Pawla II,49A,Jelenia Góra,58-506,3.1,88
Chilli Moose,,883 213 885,Parkowa,1,Karpacz,58-540,4.8,119
Pizza King,,730 035 005,Konstytucji 3 maja,14,Karpacz,58-540,4.5,86
Szałowy Kebab,,534 815 047,Konstytucji 3 Maja,74,Karpacz,58-540,4.3,57
Pizzeria Karpaczia,,883141341,Konstytucji 3 Maja,15,Karpacz,58-540,4.2,734
Lawendowy Dworek,lawendowy-dworek-karpacz.pl,604473186,Karkonoska,15,Karpacz,58-540,4.2,57
Atelier Kulinarne Sarmacja,atelier-kulinarne-sarmacja.pl,500011105,Konstytucji 3 Maja,4,Karpacz,58-540,4.7,33
Zaza Kebab,,515 777 780,Konstytucji 3 Maja,52a,Karpacz,58-540,3.8,26
Pierogi i Naleśniki Bistro Karpacz,,515 777 780,Konstytucji 3 Maja,52A,Karpacz,58-540,4.7,60
Bey Kebab,beykebab-szklarskaporeba.pl,881740006,Odrodzenia,1/A,Szklarska Poręba,58-580,4.7,49
Restauracja Retro,,780016370,1 Maja,20,Szklarska Poręba,58-580,4.3,28
Karczma Pod Skałką,karczma-pod-skalka-szklarska-poreba.pl,728 844 760,Urocza,3a,Szklarska Poręba,58-580,4.5,16
Kawał Pizzy,,697 978 987,1 Maja,7,Szklarska Poręba,58-580,4.8,134
Restauracja Szyb Witold,,666 050 085,Traugutta,12G,Boguszów-Gorce,58-371,4.7,87
Restauracja Magdalenka,restauracjamagdalenka.pl,748867421,Kościuszki,5,Boguszów-Gorce,58-371,4,251
Restauracja Hong Ha,restauracja-hong-ha.pl,74 842 26 64,Romana Dmowskiego,22,Wałbrzych,58-300,4.6,242
Pizzeria Nowar,,736672808,Piłsudskiego,27,Nowa Ruda,57-400,4.4,47
Gospoda Harenda,gospodaharenda.pl,512260423,Kasprowicza,34,Ludwikowice Kłodzkie,57-450,4.7,20
11 Food,11-food.pl,512 260 423,Główna,11,Ludwikowice Kłodzkie,57-450,4.1,72
Restauracja Hotelu Abis,restauracja-hotelu-abis-bystrzyca-klodzka.pl,509141493,Strażacka,28,Bystrzyca Kłodzka,57-500,3.9,54
Pizzeria Gregorio,,748729626,Kłodzka,11,Nowa Ruda,57-402,4.1,484
SUSHIdlaMNIE,,786 970 274,Noworudzka,2,Kłodzko,57-300,4.7,11
Zielone Wzgórze,zielonewzgorze.pl,790500503,Bolesławów,52-53,Stronie Śląskie,57-550,4.5,103
Na Stoku Twierdzy,,511714118,Nowy Świat,57,Kłodzko,57-300,4,78
KFC,,571420937,Noworudzka,2,Kłodzko,57-300,2.6,23
Kebab Sunmark,,574208961,Okrzei,17,Kłodzko,57-300,5,65
Sushi World,,601880881,Letnia,20,Kłodzko,57-300,4.9,63
Zibi Restauracja Pizzeria,,748136699,Wandy,3a,Kłodzko,57-300,4.9,1300
Chill Burger,,603 759 374,Zawiszy Czarnego,1c,Kłodzko,57-300,5,48
Kebabian,,573 853 889,Wiosenne,6D,Kłodzko,57-300,5,4
Ristorante Felicita,,74 810 8324,Spadzista,2-8,Kłodzko,57-300,4.4,116
Pizzeria Daria,,748670018,Pl. Bolesława Chrobrego,6,Kłodzko,57-300,3.9,750
Pyza Kłodzka,,605666969,Spółdzielcza,21,Kłodzko,57-300,4,96
Smaki na Szlaku,smakinaszlaku.pl,532323112,Kłodzka,8b,Polanica-Zdrój,57-320,4.5,163
La Salle,lasalle.pl,883209380,Plac Wolności,1,Bystrzyca Kłodzka,57-500,4.1,389
PIEKIELNA BABCIA Tex-Mex Bar,,536 948 206,Żwirki i Wigury,54,Legnica,59-220,4.3,64
Pizzeria Napoli,pizzeria-napoli.pl,767221000,Wrocławska,170 B/C,Legnica,59-220,4,129
Piwiarnia Warki,,767210051,Skarbowa,1,Legnica,59-200,3.3,2596
Rynek 10,,768623079,Rynek,10,Legnica,59-220,3.3,624
Ha Noi,,888872872,Nowodworska,30,Legnica,59-220,4.3,200
Restbar Pepe,restbar-pepe.pl,732927895,Izerska,36/16,Legnica,59-220,4.4,290
Restauracja Hotel Nowodworski w Legnicy,restauracjahotelnowodworskiwlegnicylegnica.pl,767220991,Nowodworska,30,Legnica,59-220,4.7,25
Obiadowo Legnica,,533641641,Kamińskiego,33,Legnica,59-220,4.3,329
Ha Noi,,788519519,Wrocławska,170a,Legnica,59-200,4.5,2647
Bar Swojski,,500695095,Tatrzańska,13,Legnica,59-220,4.5,441
Koku Sushi,,534005383,Świętego Piotra,9,Legnica,59-220,4.4,1229
Pizza Drive,,516 366 272,Hangarowa,13D,Legnica,59-220,4.3,163
Legnicki Browar Książęcy Hotel i Restauracja,,574177440,Dworcowa,9,Legnica,59-220,4.3,165
Czerkasy,czerkasy-legnica.pl,730 712 661,Chojnowska,135,Legnica,59-220,4.4,234
Kwadrans,,793943777,Jana Brzechwy,14A,Legnica,59-220,4.6,59
KEBAB EMPIRE,,573683905,Fabryczna,13,Legnica,59-220,3.4,178
Gra Smaków,,664959527,Najświętszej Marii Panny,9,Legnica,59-220,4.3,102
Da Grasso,,767223323,Jaworzyńska,7,Legnica,59-220,4.1,1252
Sushi Kushi,,731 203 203,Chojnowska,96,Legnica,59-220,4.6,33
Kebab Stambuł,,500797026,Gwarna,1a,Legnica,59-220,4.2,26
Świat Łakoci,,729217843,Wroclawska,10/18,Legnica,59-220,5,5
Kebabowo,,695597974,Marsa,15,Legnica,59-220,4.3,23
Chili Blue,,533 844 253,Batalionu „Zośka”,36a,Legnica,59-220,4.2,90
Junior Burger,,533 892 386,Najświętszej Marii Panny,5,Legnica,59-220,4.1,29
Świat Pierogów,,723982026,Iwaszkiewicza,1,Legnica,59-220,4.9,49
GiaGia Italian Streetfood,,662 841 481,Macieja Rataja,37,Legnica,59-220,5,10
Ha Long,,739696180,Schumana,11,Legnica,59-220,4.6,39
King House Kebab,,789 977 721,Piłsudskiego,38,Legnica,59-220,4,18
Manufaktura Precli,,518090727,Złotoryjska,1,Legnica,59-220,5,9
Queen Kebab,,536521188,Piłsudskiego,84,Legnica,59-220,3.8,22
Kebab&Gyros,kebabkurczakzrozna.pl,501953031,Schumana,11,Legnica,59-220,3.8,137
Bistro N.22,bistro-n22.pl,698664013,Najświętszej Marii Panny,22,Legnica,59-220,4.3,376
Domino's Pizza,,767564101,Aleja Piłsudskiego,84,Legnica,59-220,4,493
New York Pizza Department,,76 300 00 64,Tadeusza Gumińskiego,17,Legnica,59-220,4.4,1164
Opera,,782 445 022,aleja Piłsudskiego,62,Legnica,59-220,4.6,85
Receptura 57,,605727554,Józefa Piłsudskiego,18,Legnica,59-220,4.6,143
Taranto Pizza,,660 001 591,Legnicka,37a,Spalona,59-216,4.4,21
Pizzeria Na Rogu,,76 500 00 99,Jastrzębia,9A,Lubin,59-300,4.7,120
Kebab Mark & Grill Bar,,571027615,Stefana Kisielewskiego,2,Lubin,59-300,4.1,234
Ha Noi,,889 476 476,Mostowa,1,Środa Śląska,55-300,4.3,36
Kebab Classic,,502 209 809,Rybacka,25,Lubań,59-800,3.8,35
Catering Sprytna Gosposia,cateringsprytnagosposia.pl,609 514 377,Hutnicza,1,Lubań,59-800,4.7,69
Capital Kebab,,513 557 787,Lubańska,3b,Zgorzelec,59-900,4.4,32
Monteverde,,790590199,Zakopiańska,22,Świeradów,59-850,4.8,16
Pizzeria Parma Lubin,,733 111 821,Polna,28,Lubin,59-300,4.7,102
Ave Cezar Pizza,,767247746,Piłsudskiego,22,Lubin,59-300,4.5,1401
Pizzeria Italia,,885 335 885,1-go Maja,17B,Lubin,59-300,3.9,166
New York Pizza Department,,767458504,Pawia,45,Lubin,59-300,4.1,633
Asia Sushi,asiasushi.pl,661640661,Leśna,23b,Lubin,59-300,4.8,40
Ha Noi,,767 466 709,Odrodzenia,8c,Lubin,59-300,4.1,107
Koku Sushi,,731444307,Wileńska,8/1,Lubin,59-300,4.7,499
Da Grasso,,504908743,Drzymały,1A,Lubin,59-300,4.6,715
Świat Pierogów,,723982059,Generała Józefa Bema,1,Lubin,59-300,4.6,285
Capitol Kebab,,516117574,Pawia,66c,Lubin,59-300,4,76
"Restauracja Azjatycka ,,Hoang Kim''",,48508478696,Ignacego Łukasiewicza,1 pawilon 97,Lubin,59-300,4,11
Głodny Polak,,725226226,Budowniczych LGOM,59b,Lubin,59-300,3.5,62
Nakręceni,,790220365,Karkonoska,1B,Lubin,59-300,5,7
Krucza Chata,,781 762 083,Krucza,47A,Lubin,59-300,3.2,35
Jaami,,791 209 409,Plac Szkolny,1,Wołów,56-100,4.2,28
Kuchnia Smaków,,605513513,Jana Pawła II,46,Lubin,59-300,3.6,68
Baruś,baruslubin.pl,76 724 60 81,Księcia Ludwika I,1B,Lubin,59-300,4.9,399
Nowa Verona,nowa-verona.pl,512990119,Kisielewskiego,19,Lubin,59-300,4.3,714
Zapiekarnia,zapiekarnia.pl,721274904,Sybiraków,26B,Lubin,59-300,4.8,263
Verona Pizzeria Restauracja,veronapizzeriarestauracja.pl,767 493 200,Mieszka I,22,Lubin,59-300,4.7,379
Tripoli Kebab,tripoli-kebab-lubin.pl,607408072,Armii Krajowej,25,Lubin,59-300,4,91
Panda Ramen,,531618182,Gen. Józefa Bema,8,Lubin,59-300,4.2,104
Gastrofaza,gastrofazalubin.pl,790 390 077,Wrocławska,7,Lubin,59-300,4.4,272
Antalya Kebab,antalyakebablubin.pl,725727717,Odrodzenia,9A,Lubin,59-300,4.3,203
Fit Cake,,501746100,Bolesława Chrobrego,6,Lubin,59-300,4.6,48
Restauracja Ha Noi,,889999494,Stefana Kisielewskiego,27,Lubin,59-339,3.8,510
Ekushe Kebab,,576729612,Władysława Broniewskiego,3,Lubin,59-300,3.7,858
Dhaka Star Kebab,dhakastarkebabmilicz.pl,511719374,Lwowska,3,Milicz,56-300,3.3,130
Pizzeria Vesuvio,,601419626,Mickiewicza,25,Syców,56-500,4.4,387
Restauracja & Pub ANGELO 2.0,,790740140,Szkolna,5,Syców,56-500,3.6,8
Dhaka Star Kebab,dhakastarkebab.pl,574765585,Lwowska,2,Oleśnica,56-400,3.8,505
Suszarnia Wrocław Czarnieckiego,suszarnia.pl,533979846,Czarnieckiego,13,Wrocław,53-650,4.8,3185
Da Grasso,,713141717,Marii Skłodowskiej-Curie,8E-8F,Oleśnica,56-400,4.5,413
Dhaka King Kebab,,725 615 191,Traugutta,7,Oleśnica,56-400,4.4,396
GardenBistro,grillgarden-olesnica.pl,500407722,Podchorążych,2A,Oleśnica,56-400,4.5,484
SterBar,,783 960 156,Adama Mickiewicza,3,Oleśnica,56-400,3,13
Pizzeria Familia,pizzeriafamilia.pl,713183789,Żwirki,1,Jelcz-Laskowice,55-220,4.5,578
Rimini Pizza Kebab,,793710229,Słowackiego,20A,Bierutów,56-420,4.7,160
Antalya,,739050984,Wrocławska,19,Nadolice Wielkie,55-003,4.2,22
Donna's Kebab 2,,533 430 355,Józefa Bożka,22,Jelcz-Laskowice,55-220,4.9,15
Bar Orientalny Viet Thai,,579 100 126,Rzemieślnicza,8,Oleśnica,56-400,4.5,93
Jack Pub & Restaurant,,727400255,Wały Jagiellońskie,20,Oleśnica,56-400,4.9,1167
Rimini Pizza Kebab,,793710229,Generała Władysława Sikorskiego,3G,Oleśnica,56-400,4.7,530
Like Rolls,like-rolls.pl,571268781,Poleska,1,Wrocław,51-348,4.9,1269
Ciao Pizza,,533201918,Wrocławska,37,Kiełczów,55-093,4.4,1640
Str-eat BUS,,509609295,Poprzeczna,21,Gajków,55-002,5,34
Monka,,797 183 333,Hallera,21,Oleśnica,56-400,5,8
Holy Kebab & Grill,holykebabgrill-olesnica.pl,727463084,Wojska Polskiego,16,Oleśnica,56-400,3.9,37
Antalya Grill & Kebab & Pizza,,577050984,Przylesie,2,Miłoszyce,55-220,4.2,73
Pizzeria Tropikana,pizzeriatropikana.pl,713184135,Partyzantów,8,Jelcz-Laskowice,55-220,4.5,556
Pub Pawełek,,579245690,1 Maja,31B,Oława,55-200,3.9,99
Casa De Kebab 2,,887 796 316,Wrocławska,71,Kamieniec Wrocławski,55-002,4.5,122
Mali Kebab,,797059379,Józefa Bożka,11a,Jelcz-Laskowice,55-220,0,0
Capitol Kebab,,518 879 538,Sportowa,6E,Oława,55-200,3.5,16
Wok'n'Spice,,793766837,Parkowa,5,Łany,55-002,4.8,110
Cebulka i Skwarek,,721161355,Sportowa,4/19,Oława,55-200,4.7,23
Kebab Mark - Kuchnia Libańska & Grill Bar,,880400405,Chocimska,5A,Brzeg,49-304,4.6,140
Goma Sushi,,793065645,Stysia,41,Wrocław,53-525,4.9,4122
Pan Smak Pizzeria,pansmakpizzeria.pl,577235774,Lipowa,1C,Oława,55-200,4.1,309
Kebab Zone,kebabzone.pl,794669505,Iwaszkiewicza,10,Oława,55-200,4.5,185
SushiDlaMnie,,575311707,Nowy Otok,11,Oława,55-200,4.9,14
Sheriff Kebab,,579273309,Jana Pawła II,29c,Siechnice,55-011,4.5,35
Bua Burger,,795991981,Piastów Śląskich,19,Siechnice,55-011,4.8,62
SUSHI Point,,780111202,Długa,2,Brzeg,49-300,4.8,186
Pizzeria Nocna Wrocław,,600 233 420,Krynicka,1/7a,Wrocław,50-555,4.4,180
Hamsa Kebab,,575 367 475,Al. Niepodległości,8,Żórawina,55-020,4.5,25
Wilcza Chata,,797167502,Topolowa,1,Skarbimierz Osiedle,49-318,4.4,29
Restauracja Inka,,774154528,Rynek,11,Grodków,49-200,4,78
Pan Burger,,577 235 735,Jana Kilińskiego,1,Oława,55-200,4.6,48
Sushi Naka Naka,,713608111,Ołtaszyńska,92e/7,Wrocław,53-034,4.5,458
"Restauracja Azjatycka ,,Hoang Kim""",,888829698,Targowa,12,Polkowice,59-100,4.4,173
We Love Burger,weloveburger.pl,513 971 550,Słowiańska,12,Polkowice,59-100,4.8,147
Happy Doner,,500 543 536,Ułańska,3,Żary,68-200,4.5,19
Döner Kebab,,601 160 860,Wincentego Witosa,10/2,Kobierzyce,55-040,4.1,18
Mustafa Kebab,,601160860,Witosa,14,Kobierzyce,55-040,3.9,276
Ali Kebab,sondoskebabkobierzyce.pl,601160860,Robotnicza,4,Kobierzyce,55-040,4.2,82
La Gyros,,601160860,Wincentego Witosa,10/1,Kobierzyce,55-040,4.1,24
Biesiadowo,,530349349,Adama Mickiewicza,1,Strzelin,57-100,3.5,204
Big Fish Nysa,,602 682 208,Wrocławska,15/6,Nysa,48-300,5,28
American Sushi Express Zawalna,,884330413,Zawalna,11B,Wrocław,51-118,4.7,397
Monster Cook,,731 702 666,Junacka,7,Wrocław,54-020,4.8,114
Ha-Noi Szybowcowa,,889 667 668,Szybowcowa,5,Wrocław,54-130,5,4363
Slice of Italy,,731671073,Szałwiowa,31,Wrocław,51-180,4.8,130
Pizzeria Puls,,713536616,Pilczycka,140,Wrocław,54-150,4.5,694
Namaste Nepal,namastenepal.pl,501825955,Legnicka,55A,Wrocław,54-203,4.9,2093
Tawerna Trzebnicka,,502138461,Rynek,8,Trzebnica,55-100,4,84
Prosto z Gara,,71 313 48 68,Szałwiowa,27,Wrocław,51-180,4.7,530
Bistro Lviv,bistrolviv.pl,717947119,Legnicka,25,Wrocław,53-671,4.6,639
Ristorante Pizzeria Taormina Nad Odrą,ristorante-pizzeria-taormina-nad-odra.pl,506703921,Na Polance,22c,Wrocław,51-109,4.7,411
Focca Czyja Pizza,,717150155,Waniliowa,46a,Wrocław,51-180,4.8,367
Moon Kebab,moonkebab.pl,510562648,Daszyńskiego,62,Trzebnica,55-100,4.6,25
Tostruck Burgery&Tościory,,501 866 593,Maślicka,216,Wrocław,54-104,4.4,248
Masala Grill & Bar,masala-grill-bar.pl,691844988,Kuźnicza,3,Wrocław,50-138,3.9,246
Il Mio,,884 818 515,Grawerska,13B,Wrocław,51-180,4.5,170
Sushi Kushi,,575600668,Horbaczewskiego,57a,Wrocław,54-130,4.5,2196
Döner House,,780023309,Szałwiowa,23,Wrocław,51-180,4.1,17
Pizzeria Wrocław Nocą Północ,,534 695 838,Macedońska,41,Wrocław,51-113,4.7,68
Coś Dobrego,cosdobrego-wroclaw.pl,531044840,Komandorska,66,Wrocław,53-343,4.7,1280
Maharaja Indian Restaurant,,511365829,Kołłątaja,22/1a,Wrocław,50-002,4.3,146
NEOBAB,,785988880,Mikołaja Reja,LU1,Wrocław,50-354,4.1,130
Sofa Lounge & Restaurant,sofaloungerestaurantwroclaw.pl,600289910,Ignacego Paderewskiego,35,Wrocław,51-612,4.1,138
Maiko Sushi,,722770770,Zakładowa,20F/1,Wrocław,50-231,3.9,132
Slice Of Heaven Noc,,717374444,Sępa-Szarzyńskiego,71,Wrocław,50-334,4.8,112
Nasza Pasza,naszapasza-wroclaw.pl,661733373,Okulickiego,10,Wrocław,51-216,4.5,243
Misa Hindusa,,728933013,Piotra Skargi,22/1,Wrocław,50-082,4.5,146
My Friend Kebab,,789 076 590,Leopolda Okulickiego,13,Wrocław,51-216,4.6,66
Bar Wietnamski,,729467569,Królewska,40,Wrocław,51-200,4.7,230
FOODHUB SUSHI,,790 307 309,Sokolnicza,7-17/26,Wrocław,53-676,3.9,16
Pizza Bunga,,513741320,Bulwar Dedala,18b,Wrocław,54-130,4.7,4732
Pizzeria Marco,pizzeriamarcowroclaw.pl,713303466,Żeromskiego,60 lok 3,Wrocław,50-312,4.6,13883
Pizza Station,,713648524,Wrocławska,52,Długołęka,55-095,4.4,3088
Petra Gyros,,713511566,Legnicka,72,Wrocław,54-206,4.5,6416
Abradable,,782870793,Kołłątaja,26,Wrocław,50-007,4.5,5227
Pizza Bunga Śródmieście,pizzabungabunga.pl,508603460,Rydygiera,34,Wrocław,50-249,4.8,6176
Fromilia Domowe Smaki,,713925983,Poświęcka,17,Wrocław,51-128,4.6,733
Himalaya Restaurant & Bar,himalayarestaurantbar.pl,666874840,Gajowa,41a,Wrocław,50-520,4.8,2164
Ha Noi,,733 270 378,Parnickiego,1,Wrocław,51-116,4.7,4212
Lubczyk & Basilia,lubczykbasilia.pl,71-785-99-59,Tęczowa,22,Wrocław,53-602,4,207
Sunrise Sushi,sunrisesushi-wroclaw.pl,537309131,Słowiańska,13,Wrocław,50-235,3.8,411
Mr. Pepperoni,mrpepperoni-wroclaw.pl,570250973,Kromera,27,Wrocław,51-163,4.2,329
Zytomyr.Bar,zytomyrbar.pl,713263848,Zatorska,60A,Wrocław,51-215,4.2,331
Pizzeria Muzyczna Nocą,,518 468 466,Tęczowa,57,Wrocław,52-007,4.5,186
The Indian Island,,733423100,Św. Jadwigi,10/1a,Wrocław,50-266,4.7,606
Sushi Planet,,511 613 197,Ruska,10,Wrocław,50-079,4.2,77
Primo Gastro,,504 015 886,Wrocławska,35,Kiełczów,55-093,4.6,173
Na Wolnym Ogniu,nawolnymogniu.pl,531177220,Kiełczowska,64c,Wrocław,51-315,4.5,468
